[09:03:36.969] [INFO   ] thread bguspl.set.Main.main() starting.
[09:03:36.982] [SEVERE ] cannot read configuration file config.properties trying from resources.
[09:03:36.989] [SEVERE ] configuration file was loaded from resources directory.
[09:03:38.868] [SEVERE ] updating countdown to 9223370329298956939
[09:03:38.871] [SEVERE ] updating countdown to 9223370329298956936
[09:03:38.874] [SEVERE ] updating countdown to 9223370329298956933
[09:03:38.877] [SEVERE ] updating countdown to 9223370329298956930
[09:03:38.880] [SEVERE ] updating countdown to 9223370329298956928
[09:03:38.882] [SEVERE ] updating countdown to 9223370329298956925
[09:03:38.885] [SEVERE ] updating countdown to 9223370329298956922
[09:03:38.888] [SEVERE ] updating countdown to 9223370329298956919
[09:03:38.892] [SEVERE ] updating countdown to 9223370329298956915
[09:03:38.895] [SEVERE ] updating countdown to 9223370329298956912
[09:03:38.897] [SEVERE ] updating countdown to 9223370329298956910
[09:03:38.899] [SEVERE ] updating countdown to 9223370329298956908
[09:03:38.902] [SEVERE ] updating countdown to 9223370329298956905
[09:03:38.905] [SEVERE ] updating countdown to 9223370329298956902
[09:03:38.908] [SEVERE ] updating countdown to 9223370329298956899
[09:03:38.910] [SEVERE ] updating countdown to 9223370329298956897
[09:03:38.912] [SEVERE ] updating countdown to 9223370329298956895
[09:03:38.914] [SEVERE ] updating countdown to 9223370329298956893
[09:03:38.917] [SEVERE ] updating countdown to 9223370329298956890
[09:03:38.921] [SEVERE ] updating countdown to 9223370329298956886
[09:03:38.924] [SEVERE ] updating countdown to 9223370329298956883
[09:03:38.927] [SEVERE ] updating countdown to 9223370329298956880
[09:03:38.929] [SEVERE ] updating countdown to 9223370329298956878
[09:03:38.931] [SEVERE ] updating countdown to 9223370329298956876
[09:03:38.933] [SEVERE ] updating countdown to 9223370329298956874
[09:03:38.936] [SEVERE ] updating countdown to 9223370329298956872
[09:03:38.939] [SEVERE ] updating countdown to 9223370329298956868
[09:03:38.942] [SEVERE ] updating countdown to 9223370329298956865
[09:03:38.944] [SEVERE ] updating countdown to 9223370329298956863
[09:03:38.946] [SEVERE ] updating countdown to 9223370329298956861
[09:03:38.948] [SEVERE ] updating countdown to 9223370329298956859
[09:03:38.950] [SEVERE ] updating countdown to 9223370329298956857
[09:03:38.953] [SEVERE ] updating countdown to 9223370329298956854
[09:03:38.956] [SEVERE ] updating countdown to 9223370329298956851
[09:03:38.959] [SEVERE ] updating countdown to 9223370329298956848
[09:03:38.961] [SEVERE ] updating countdown to 9223370329298956846
[09:03:38.963] [SEVERE ] updating countdown to 9223370329298956844
[09:03:38.965] [SEVERE ] updating countdown to 9223370329298956842
[09:03:38.967] [SEVERE ] updating countdown to 9223370329298956840
[09:03:38.970] [SEVERE ] updating countdown to 9223370329298956837
[09:03:38.973] [SEVERE ] updating countdown to 9223370329298956834
[09:03:38.976] [SEVERE ] updating countdown to 9223370329298956831
[09:03:38.979] [SEVERE ] updating countdown to 9223370329298956828
[09:03:38.982] [SEVERE ] updating countdown to 9223370329298956825
[09:03:38.985] [SEVERE ] updating countdown to 9223370329298956822
[09:03:38.988] [SEVERE ] updating countdown to 9223370329298956819
[09:03:38.991] [SEVERE ] updating countdown to 9223370329298956816
[09:03:38.994] [SEVERE ] updating countdown to 9223370329298956813
[09:03:38.997] [SEVERE ] updating countdown to 9223370329298956810
[09:03:39.000] [SEVERE ] updating countdown to 9223370329298956807
[09:03:39.003] [SEVERE ] updating countdown to 9223370329298956804
[09:03:39.006] [SEVERE ] updating countdown to 9223370329298956801
[09:03:39.008] [SEVERE ] updating countdown to 9223370329298956799
[09:03:39.010] [SEVERE ] updating countdown to 9223370329298956797
[09:03:39.013] [SEVERE ] updating countdown to 9223370329298956794
[09:03:39.015] [SEVERE ] updating countdown to 9223370329298956792
[09:03:39.017] [SEVERE ] updating countdown to 9223370329298956790
[09:03:39.020] [SEVERE ] updating countdown to 9223370329298956787
[09:03:39.023] [SEVERE ] updating countdown to 9223370329298956784
[09:03:39.026] [SEVERE ] updating countdown to 9223370329298956781
[09:03:39.027] [SEVERE ] updating countdown to 9223370329298956780
[09:03:39.029] [SEVERE ] updating countdown to 9223370329298956778
[09:03:39.031] [SEVERE ] updating countdown to 9223370329298956776
[09:03:39.033] [SEVERE ] updating countdown to 9223370329298956774
[09:03:39.035] [SEVERE ] updating countdown to 9223370329298956772
[09:03:39.040] [SEVERE ] updating countdown to 9223370329298956768
[09:03:39.043] [SEVERE ] updating countdown to 9223370329298956764
[09:03:39.045] [SEVERE ] updating countdown to 9223370329298956762
[09:03:39.048] [SEVERE ] updating countdown to 9223370329298956759
[09:03:39.050] [SEVERE ] updating countdown to 9223370329298956757
[09:03:39.052] [SEVERE ] updating countdown to 9223370329298956755
[09:03:39.056] [SEVERE ] updating countdown to 9223370329298956751
[09:03:39.058] [SEVERE ] updating countdown to 9223370329298956749
[09:03:39.061] [SEVERE ] updating countdown to 9223370329298956746
[09:03:39.063] [SEVERE ] updating countdown to 9223370329298956744
[09:03:39.065] [SEVERE ] updating countdown to 9223370329298956742
[09:03:39.068] [SEVERE ] updating countdown to 9223370329298956739
[09:03:39.071] [SEVERE ] updating countdown to 9223370329298956736
[09:03:39.074] [SEVERE ] updating countdown to 9223370329298956733
[09:03:39.076] [SEVERE ] updating countdown to 9223370329298956731
[09:03:39.079] [SEVERE ] updating countdown to 9223370329298956728
[09:03:39.081] [SEVERE ] updating countdown to 9223370329298956726
[09:03:39.083] [SEVERE ] updating countdown to 9223370329298956724
[09:03:39.085] [SEVERE ] updating countdown to 9223370329298956722
[09:03:39.088] [SEVERE ] updating countdown to 9223370329298956719
[09:03:39.091] [SEVERE ] updating countdown to 9223370329298956716
[09:03:39.093] [SEVERE ] updating countdown to 9223370329298956714
[09:03:39.095] [SEVERE ] updating countdown to 9223370329298956712
[09:03:39.097] [SEVERE ] updating countdown to 9223370329298956710
[09:03:39.099] [SEVERE ] updating countdown to 9223370329298956708
[09:03:39.101] [SEVERE ] updating countdown to 9223370329298956706
[09:03:39.104] [SEVERE ] updating countdown to 9223370329298956703
[09:03:39.107] [SEVERE ] updating countdown to 9223370329298956700
[09:03:39.110] [SEVERE ] updating countdown to 9223370329298956697
[09:03:39.113] [SEVERE ] updating countdown to 9223370329298956694
[09:03:39.115] [SEVERE ] updating countdown to 9223370329298956692
[09:03:39.118] [SEVERE ] updating countdown to 9223370329298956689
[09:03:39.120] [SEVERE ] updating countdown to 9223370329298956687
[09:03:39.123] [SEVERE ] updating countdown to 9223370329298956684
[09:03:39.126] [SEVERE ] updating countdown to 9223370329298956681
[09:03:39.128] [SEVERE ] updating countdown to 9223370329298956679
[09:03:39.130] [SEVERE ] updating countdown to 9223370329298956677
[09:03:39.133] [SEVERE ] updating countdown to 9223370329298956674
[09:03:39.135] [SEVERE ] updating countdown to 9223370329298956672
[09:03:39.137] [SEVERE ] updating countdown to 9223370329298956670
[09:03:39.141] [SEVERE ] updating countdown to 9223370329298956666
[09:03:39.144] [SEVERE ] updating countdown to 9223370329298956663
[09:03:39.146] [SEVERE ] updating countdown to 9223370329298956661
[09:03:39.149] [SEVERE ] updating countdown to 9223370329298956658
[09:03:39.151] [SEVERE ] updating countdown to 9223370329298956656
[09:03:39.153] [SEVERE ] updating countdown to 9223370329298956654
[09:03:39.157] [SEVERE ] updating countdown to 9223370329298956650
[09:03:39.159] [SEVERE ] updating countdown to 9223370329298956648
[09:03:39.161] [SEVERE ] updating countdown to 9223370329298956646
[09:03:39.163] [SEVERE ] updating countdown to 9223370329298956644
[09:03:39.166] [SEVERE ] updating countdown to 9223370329298956641
[09:03:39.168] [SEVERE ] updating countdown to 9223370329298956639
[09:03:39.172] [SEVERE ] updating countdown to 9223370329298956635
[09:03:39.175] [SEVERE ] updating countdown to 9223370329298956632
[09:03:39.177] [SEVERE ] updating countdown to 9223370329298956630
[09:03:39.180] [SEVERE ] updating countdown to 9223370329298956627
[09:03:39.182] [SEVERE ] updating countdown to 9223370329298956625
[09:03:39.185] [SEVERE ] updating countdown to 9223370329298956623
[09:03:39.187] [SEVERE ] updating countdown to 9223370329298956620
[09:03:39.190] [SEVERE ] updating countdown to 9223370329298956617
[09:03:39.193] [SEVERE ] updating countdown to 9223370329298956614
[09:03:39.195] [SEVERE ] updating countdown to 9223370329298956612
[09:03:39.198] [SEVERE ] updating countdown to 9223370329298956609
[09:03:39.200] [SEVERE ] updating countdown to 9223370329298956607
[09:03:39.203] [SEVERE ] updating countdown to 9223370329298956604
[09:03:39.206] [SEVERE ] updating countdown to 9223370329298956601
[09:03:39.209] [SEVERE ] updating countdown to 9223370329298956598
[09:03:39.211] [SEVERE ] updating countdown to 9223370329298956596
[09:03:39.215] [SEVERE ] updating countdown to 9223370329298956592
[09:03:39.218] [SEVERE ] updating countdown to 9223370329298956589
[09:03:39.221] [SEVERE ] updating countdown to 9223370329298956586
[09:03:39.223] [SEVERE ] updating countdown to 9223370329298956584
[09:03:39.226] [SEVERE ] updating countdown to 9223370329298956581
[09:03:39.228] [SEVERE ] updating countdown to 9223370329298956579
[09:03:39.230] [SEVERE ] updating countdown to 9223370329298956577
[09:03:39.232] [SEVERE ] updating countdown to 9223370329298956575
[09:03:39.234] [SEVERE ] updating countdown to 9223370329298956573
[09:03:39.236] [SEVERE ] updating countdown to 9223370329298956571
[09:03:39.238] [SEVERE ] updating countdown to 9223370329298956569
[09:03:39.240] [SEVERE ] updating countdown to 9223370329298956567
[09:03:39.242] [SEVERE ] updating countdown to 9223370329298956565
[09:03:39.244] [SEVERE ] updating countdown to 9223370329298956563
[09:03:39.245] [SEVERE ] updating countdown to 9223370329298956562
[09:03:39.247] [SEVERE ] updating countdown to 9223370329298956560
[09:03:39.249] [SEVERE ] updating countdown to 9223370329298956558
[09:03:39.250] [SEVERE ] updating countdown to 9223370329298956557
[09:03:39.252] [SEVERE ] updating countdown to 9223370329298956555
[09:03:39.254] [SEVERE ] updating countdown to 9223370329298956553
[09:03:39.256] [SEVERE ] updating countdown to 9223370329298956551
[09:03:39.258] [SEVERE ] updating countdown to 9223370329298956549
[09:03:39.259] [SEVERE ] updating countdown to 9223370329298956548
[09:03:39.261] [SEVERE ] updating countdown to 9223370329298956546
[09:03:39.263] [SEVERE ] updating countdown to 9223370329298956544
[09:03:39.264] [SEVERE ] updating countdown to 9223370329298956543
[09:03:39.266] [SEVERE ] updating countdown to 9223370329298956541
[09:03:39.267] [SEVERE ] updating countdown to 9223370329298956540
[09:03:39.269] [SEVERE ] updating countdown to 9223370329298956538
[09:03:39.271] [SEVERE ] updating countdown to 9223370329298956536
[09:03:39.272] [SEVERE ] updating countdown to 9223370329298956535
[09:03:39.273] [SEVERE ] updating countdown to 9223370329298956534
[09:03:39.275] [SEVERE ] updating countdown to 9223370329298956532
[09:03:39.276] [SEVERE ] updating countdown to 9223370329298956531
[09:03:39.278] [SEVERE ] updating countdown to 9223370329298956529
[09:03:39.279] [SEVERE ] updating countdown to 9223370329298956528
[09:03:39.281] [SEVERE ] updating countdown to 9223370329298956526
[09:03:39.282] [SEVERE ] updating countdown to 9223370329298956525
[09:03:39.284] [SEVERE ] updating countdown to 9223370329298956523
[09:03:39.286] [SEVERE ] updating countdown to 9223370329298956521
[09:03:39.288] [SEVERE ] updating countdown to 9223370329298956519
[09:03:39.290] [SEVERE ] updating countdown to 9223370329298956518
[09:03:39.291] [SEVERE ] updating countdown to 9223370329298956516
[09:03:39.293] [SEVERE ] updating countdown to 9223370329298956514
